name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
Lizol Citrus Floor Cleaner - Pack of 2,Lizol,Household Items,329,358,8,Floor Cleaner,2x975 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_315206.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_315206.jpg
Lizol Lavender Floor Cleaner - Pack of 2,Lizol,Household Items,329,358,8,Floor Cleaner,2x975 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_318059.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_318059.jpg
"Lizol Disinfectant Surface & Floor Cleaner Citrus, Kills 99.9% Germs (Pouch)",Lizol,Household Items,319,319,0,Floor Cleaner,1.8 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_430520.jpg?ts=1600694073,https://cdn.grofers.com/app/images/products/full_screen/pro_430520.jpg?ts=1600694073
"Lizol Disinfectant Surface & Floor Cleaner Liquid, Citrus - 975 ml, Kills 99.9% Germs",Lizol,Household Items,179,179,0,Floor Cleaner,975 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_18577.jpg?ts=1607437058,https://cdn.grofers.com/app/images/products/full_screen/pro_18577.jpg?ts=1607437058
Vim Lemon Dishwash Gel (Bottle),Vim,Household Items,124,155,20,Dishwash Gel,750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_18575.jpg?ts=1594380634,https://cdn.grofers.com/app/images/products/full_screen/pro_18575.jpg?ts=1594380634
SaveMore Lemon Dishwash Gel - Buy 1 Get 1 Free (2x750 ml),SaveMore,Lowest Price,155,310,50,Dishwash Gel,2x750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_381614.jpg?ts=1594038156,https://cdn.grofers.com/app/images/products/full_screen/pro_381614.jpg?ts=1594038156
Vim Lemon Gel Dishwash Liquid (Refill),Vim,Household Items,320,360,11,Dishwash Liquid,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_429663.jpg?ts=1599196771,https://cdn.grofers.com/app/images/products/full_screen/pro_429663.jpg?ts=1599196771
Pril Active+ Lime Dishwash Liquid,Pril,Household Items,365,395,7,Dishwash Liquid,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_60088.jpg?ts=1590670315,https://cdn.grofers.com/app/images/products/full_screen/pro_60088.jpg?ts=1590670315
Vim Lemon Dishwash Gel (Jar),Vim,Household Items,320,360,11,Dishwash Gel,1.8 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_11280.jpg?ts=1594380633,https://cdn.grofers.com/app/images/products/full_screen/pro_11280.jpg?ts=1594380633
Pril Active Lime Dishwash Gel,Pril,Household Items,143,160,10,Dishwash Gel,750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_67075.jpg?ts=1590670316,https://cdn.grofers.com/app/images/products/full_screen/pro_67075.jpg?ts=1590670316
SaveMore Lemon Dishwash Gel - Buy 1 Get 1 Free,SaveMore,Household Items,105,210,50,Dishwash Gel,2x500 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_388771.jpg?ts=1593586327,https://cdn.grofers.com/app/images/products/full_screen/pro_388771.jpg?ts=1593586327
Vim Lemon Dishwash Bar - Pack of 3 - Brand Offer,Vim,Household Items,41,45,8,Dishwash Bar,3x200 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_18546.jpg?ts=1594380634,https://cdn.grofers.com/app/images/products/full_screen/pro_18546.jpg?ts=1594380634
Gala Steel Scrubber,Gala,Household Items,35,35,0,Steel Scrubber,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_25411.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_25411.jpg
Vim Lemon Dishwash Gel (Refill),Vim,Household Items,180,180,0,Dishwash Gel,900 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_254597.jpg?ts=1594380664,https://cdn.grofers.com/app/images/products/full_screen/pro_254597.jpg?ts=1594380664
SaveMore Lemon Dishwash Gel,SaveMore,Household Items,79,155,49,Dishwash Gel,750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_380021.jpg?ts=1560146866,https://cdn.grofers.com/app/images/products/full_screen/pro_380021.jpg?ts=1560146866
SaveMore Lime Dishwash Gel,SaveMore,Household Items,65,105,38,Dishwash Gel,500 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_384505.jpg?ts=1560146869,https://cdn.grofers.com/app/images/products/full_screen/pro_384505.jpg?ts=1560146869
SaveMore Lime Dishwash Gel - 750 ml,SaveMore,Household Items,79,155,49,Dishwash Gel,750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_384506.jpg?ts=1560146868,https://cdn.grofers.com/app/images/products/full_screen/pro_384506.jpg?ts=1560146868
SaveMore Lime Dishwash Gel - Buy 1 Get 1 Free,SaveMore,Household Items,105,210,50,Dishwash Gel,2x500 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_388622.jpg?ts=1593586325,https://cdn.grofers.com/app/images/products/full_screen/pro_388622.jpg?ts=1593586325
SaveMore Lime Dishwash Gel - Buy 1 Get 1 Free (2x750 ml),SaveMore,Household Items,155,310,50,Dishwash Gel,2x750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_388623.jpg?ts=1593586325,https://cdn.grofers.com/app/images/products/full_screen/pro_388623.jpg?ts=1593586325
Pril Tamarind Shine Specialist Dishwash Gel,Pril,Household Items,148,165,10,Dishwash Gel,750 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_407580.jpg?ts=1591697924,https://cdn.grofers.com/app/images/products/full_screen/pro_407580.jpg?ts=1591697924
Pril Active 2x Lime Dishwash Gel,Pril,Household Items,110,115,4,Dishwash Gel,425 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_99149.jpg?ts=1591093018,https://cdn.grofers.com/app/images/products/full_screen/pro_99149.jpg?ts=1591093018
Vim Lemon Dishwash Bar,Vim,Household Items,20,20,0,Dishwash Bar,300 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_69452.jpg?ts=1594380664,https://cdn.grofers.com/app/images/products/full_screen/pro_69452.jpg?ts=1594380664
Vim Pudina Anti Smell Dishwash Bar,Vim,Household Items,50,50,0,Dishwash Bar,3x200 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_366978.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_366978.jpg
Vim Anti Bac With Neem Dishwash Bar - Pack of 3,Vim,Household Items,52,52,0,Dishwash Bar,3x200 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_429668.jpg?ts=1599201106,https://cdn.grofers.com/app/images/products/full_screen/pro_429668.jpg?ts=1599201106
Exo Bacterial Ginger Twist Round Touch & Shine Dishwash Bar,Exo,Household Items,120,134,10,Dishwash Bar,2x700 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_352107.jpg?ts=1588944223,https://cdn.grofers.com/app/images/products/full_screen/pro_352107.jpg?ts=1588944223
Exo Ginger Twist Round Dishwash Bar - Pack of 4 - Brand offer,Exo,Household Items,229,249,8,Dishwash Bar,4x700 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_425162.jpg?ts=1592228658,https://cdn.grofers.com/app/images/products/full_screen/pro_425162.jpg?ts=1592228658
Patanjali Super Dishwash Bar - Pack of 3 - Brand Offer,Patanjali,Household Items,40,40,0,Dishwash Bar,3x250 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_372351.jpg?ts=1597826708,https://cdn.grofers.com/app/images/products/full_screen/pro_372351.jpg?ts=1597826708
Patanjali Super Dishwash Bar,Patanjali,Household Items,15,15,0,Dishwash Bar,250 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_354606.jpg?ts=1606376599,https://cdn.grofers.com/app/images/products/full_screen/pro_354606.jpg?ts=1606376599
Pril Lime + Vinegar Dishwash Bar,Pril,Household Items,54,54,0,Dishwash Bar,4X200 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_282717.jpg?ts=1589366209,https://cdn.grofers.com/app/images/products/full_screen/pro_282717.jpg?ts=1589366209
SaveMore Dishwash Bar,SaveMore,Household Items,9,10,10,Dishwash Bar,200 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_409137.jpg?ts=1576212452,https://cdn.grofers.com/app/images/products/full_screen/pro_409137.jpg?ts=1576212452
Xpert Double Action Formula Dishwash Bar (Box) - Free Scrubber,Xpert,Household Items,50,50,0,Dishwash Bar,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_436904.jpg?ts=1604303101,https://cdn.grofers.com/app/images/products/full_screen/pro_436904.jpg?ts=1604303101
Xpert Double Action Formula Jumbo Pack Dishwash Bar (Packet) - Buy 3 Get 1 Free,Xpert,Household Items,45,45,0,Dishwash Bar,4x175 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_436903.jpg?ts=1604303102,https://cdn.grofers.com/app/images/products/full_screen/pro_436903.jpg?ts=1604303102
Gala Thick Scrub Pad,Gala,Household Items,75,75,0,Scrub Pad,5 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_102595.jpg?ts=1609320716,https://cdn.grofers.com/app/images/products/full_screen/pro_102595.jpg?ts=1609320716
Himalaya Gentle - Baby Laundry Detergent,Himalaya,Baby Care,421,495,14,Baby Laundry Detergent,1 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_408717.jpg?ts=1591698279,https://cdn.grofers.com/app/images/products/full_screen/pro_408717.jpg?ts=1591698279
Surf Excel Matic Top Load Liquid Detergent,Surf Excel,Household Items,180,199,9,Liquid Detergent,1 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_312059.jpg?ts=1523530662,https://cdn.grofers.com/app/images/products/full_screen/pro_312059.jpg?ts=1523530662
Ezee Liquid Detergent,Ezee,Household Items,165,175,5,Liquid Detergent,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_401.jpg?ts=1587466321,https://cdn.grofers.com/app/images/products/full_screen/pro_401.jpg?ts=1587466321
Genteel Liquid Detergent - Buy 1 Get 1 Free - Brand Offer,Genteel,Household Items,240,320,25,Liquid Detergent,2x1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_239471.jpg?ts=1582715384,https://cdn.grofers.com/app/images/products/full_screen/pro_239471.jpg?ts=1582715384
Surf Excel Matic Front Load Liquid Detergent,Surf Excel,Household Items,203,225,9,Liquid Detergent,1 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_312032.jpg?ts=1523530662,https://cdn.grofers.com/app/images/products/full_screen/pro_312032.jpg?ts=1523530662
Dettol Spring Blossom Laundry Disinfectant,Dettol,Household Items,261,290,10,Laundry Disinfectant,960 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_421590.jpg?ts=1586265491,https://cdn.grofers.com/app/images/products/full_screen/pro_421590.jpg?ts=1586265491
SaveMore Liquid Detergent,SaveMore,Household Items,69,125,44,Liquid Detergent,1 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_406395.jpg?ts=1573629584,https://cdn.grofers.com/app/images/products/full_screen/pro_406395.jpg?ts=1573629584
Genteel Liquid Detergent (Refill),Genteel,Household Items,230,320,28,Liquid Detergent,2 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_429799.jpg?ts=1600149178,https://cdn.grofers.com/app/images/products/full_screen/pro_429799.jpg?ts=1600149178
Surf Excel Matic Top Load Liquid Detergent (Pouch),Surf Excel,Household Items,319,370,13,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_392235.jpg?ts=1604991614,https://cdn.grofers.com/app/images/products/full_screen/pro_392235.jpg?ts=1604991614
Surf Excel Easy Wash Liquid Detergent,Surf Excel,Household Items,165,165,0,Liquid Detergent,1 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_396907.jpg?ts=1550060841,https://cdn.grofers.com/app/images/products/full_screen/pro_396907.jpg?ts=1550060841
Ariel Matic Top Load Liquid Detergent (Bottle),Ariel,Household Items,339,440,22,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_424213.jpg?ts=1590141421,https://cdn.grofers.com/app/images/products/full_screen/pro_424213.jpg?ts=1590141421
Ariel Matic Liquid Detergent,Ariel,Household Items,428,460,6,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_394477.jpg?ts=1539261179,https://cdn.grofers.com/app/images/products/full_screen/pro_394477.jpg?ts=1539261179
Ariel Matic Liquid Detergent (Pouch),Ariel,Household Items,298,320,6,Liquid Detergent,1.5 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_409092.jpg?ts=1575275867,https://cdn.grofers.com/app/images/products/full_screen/pro_409092.jpg?ts=1575275867
Ariel Matic Front Load Liquid Detergent (Bottle),Ariel,Household Items,435,500,13,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_424214.jpg?ts=1590141421,https://cdn.grofers.com/app/images/products/full_screen/pro_424214.jpg?ts=1590141421
Wipro Safewash Matic Front Load Premium Liquid Detergent,Wipro Safewash,Household Items,332,390,14,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_410873.jpg?ts=1590488403,https://cdn.grofers.com/app/images/products/full_screen/pro_410873.jpg?ts=1590488403
Wipro Safewash Matic Front Load Premium Liquid Detergent - Pack of 2,Wipro Safewash,Household Items,647,780,17,Liquid Detergent,2x2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_445453.jpg?ts=1612245305,https://cdn.grofers.com/app/images/products/full_screen/pro_445453.jpg?ts=1612245305
Wipro Safewash Matic Top Load Premium Liquid Detergent - Pack of 2,Wipro Safewash,Household Items,607,740,17,Liquid Detergent,2x2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_445452.jpg?ts=1612245305,https://cdn.grofers.com/app/images/products/full_screen/pro_445452.jpg?ts=1612245305
Wipro Safewash Matic Top Load Premium Liquid Detergent,Wipro Safewash,Household Items,248,370,32,Liquid Detergent,2 l,l,,https://cdn.grofers.com/app/images/products/normal/pro_410874.jpg?ts=1590488403,https://cdn.grofers.com/app/images/products/full_screen/pro_410874.jpg?ts=1590488403
Tide He Turbo 3 in 1 Pods Original Liquid Detergent - Pack of 35,Tide,Household Items,1011,1059,4,Liquid Detergent,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_424359.jpg?ts=1612353336,https://cdn.grofers.com/app/images/products/full_screen/pro_424359.jpg?ts=1612353336
Dettol Fresh Linen Laundry Disinfectant,Dettol,Household Items,269,290,7,Laundry Disinfectant,960 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_421591.jpg?ts=1586265549,https://cdn.grofers.com/app/images/products/full_screen/pro_421591.jpg?ts=1586265549
Ezee 2 in 1 Liquid Detergent & Fabric Conditioner (Pouch),Ezee,Household Items,376,450,16,Liquid Detergent & Fabric Conditioner,2 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_429753.jpg?ts=1613026271,https://cdn.grofers.com/app/images/products/full_screen/pro_429753.jpg?ts=1613026271
Ezee 2 in 1 Liquid Detergent & Fabric Conditioner (Bottle),Ezee,Household Items,207,230,10,Liquid Detergent & Fabric Conditioner,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_429790.jpg?ts=1613026271,https://cdn.grofers.com/app/images/products/full_screen/pro_429790.jpg?ts=1613026271
Hit Lime Fresh Fragrance Mosquitoes & Flies Insect Killer (Spray),Hit,Household Items,270,325,16,Insect Killer,700 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_409774.jpg?ts=1587466716,https://cdn.grofers.com/app/images/products/full_screen/pro_409774.jpg?ts=1587466716
SaveMore Naphthalene Balls,SaveMore,Household Items,29,32,9,Naphthalene Balls,100 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_380110.jpg?ts=1572675612,https://cdn.grofers.com/app/images/products/full_screen/pro_380110.jpg?ts=1572675612
Hit Flies & Mosquitoes Black Insect Killer (Spray),Hit,Household Items,191,217,11,Insect Killer,400 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_15537.jpg?ts=1587466420,https://cdn.grofers.com/app/images/products/full_screen/pro_15537.jpg?ts=1587466420
Good Knight Fabric Roll On Mosquito Repellent,Good Knight,Household Items,68,75,9,Mosquito Repellent,8 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_332306.jpg?ts=1587466554,https://cdn.grofers.com/app/images/products/full_screen/pro_332306.jpg?ts=1587466554
Good Knight Gold Flash Mosquito Repellent (Refill) - Pack of 2,Good Knight,Household Items,146,158,7,Mosquito Repellent,2x45 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_417405.jpg?ts=1584441352,https://cdn.grofers.com/app/images/products/full_screen/pro_417405.jpg?ts=1584441352
Hit Mosquito Bat,Hit,Household Items,475,499,4,Mosquito Bat,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_402597.jpg?ts=1587466716,https://cdn.grofers.com/app/images/products/full_screen/pro_402597.jpg?ts=1587466716
Odomos Fabric Mosquito Repellent Roll On - Buy 1 Get 1 Extra - Brand Offer,Odomos,Household Items,75,75,0,Mosquito Repellent Roll On,8 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_387510.jpg?ts=1558426866,https://cdn.grofers.com/app/images/products/full_screen/pro_387510.jpg?ts=1558426866
Hit Red Cockroach Killer (Spray),Hit,Household Items,191,217,11,Cockroach Killer,400 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_79024.jpg?ts=1587466462,https://cdn.grofers.com/app/images/products/full_screen/pro_79024.jpg?ts=1587466462
All Out Ultra Mosquito Repellent (Starter + 2 Refills pack),All Out,Household Items,143,150,4,Mosquito Repellent,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_376825.jpg?ts=1581936485,https://cdn.grofers.com/app/images/products/full_screen/pro_376825.jpg?ts=1581936485
Mortein 2 In 1 Insect Killer (Spray),Mortein,Household Items,172,191,9,Insect Killer,425 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_392596.jpg?ts=1607437116,https://cdn.grofers.com/app/images/products/full_screen/pro_392596.jpg?ts=1607437116
Good Knight Power Active + Mosquito Repellent (Refill) - Pack of 6,Good Knight,Household Items,340,432,21,Mosquito Repellent,6x45 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_400785.jpg?ts=1587466715,https://cdn.grofers.com/app/images/products/full_screen/pro_400785.jpg?ts=1587466715
Good Knight Power Activ+ Lavender Mosquito Repellent (Refill) - Pack of 3,Good Knight,Household Items,195,216,9,Mosquito Repellent,3x45 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_415877.jpg?ts=1582284681,https://cdn.grofers.com/app/images/products/full_screen/pro_415877.jpg?ts=1582284681
Good Knight Naturals Neem Liquid Vapouriser Mosquito Repellent (Machine + Refill),Good Knight,Household Items,173,192,9,Mosquito Repellent,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_435979.jpg?ts=1603284271,https://cdn.grofers.com/app/images/products/full_screen/pro_435979.jpg?ts=1603284271
Good Knight Naturals Neem Liquid Vapouriser Mosquito Repellent (Refill) - Pack of 2,Good Knight,Household Items,164,178,7,Mosquito Repellent,45x2 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_435978.jpg?ts=1603284270,https://cdn.grofers.com/app/images/products/full_screen/pro_435978.jpg?ts=1603284270
Good Knight Advanced Power Activ+ Cartridge Twin Saver Mosquito Repellent (Refill),Good Knight Advanced,Household Items,134,134,0,Mosquito Repellent,2x45 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_109943.jpg?ts=1587466512,https://cdn.grofers.com/app/images/products/full_screen/pro_109943.jpg?ts=1587466512
Hit Anti Roach Gel Cockroach Killer,Hit,Household Items,225,249,9,Cockroach Killer,20 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_25655.jpg?ts=1587466420,https://cdn.grofers.com/app/images/products/full_screen/pro_25655.jpg?ts=1587466420
Good Knight Cool Gel Mosquito Repellent,Good Knight,Household Items,41,45,8,Mosquito Repellent,50 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_327429.jpg?ts=1587466554,https://cdn.grofers.com/app/images/products/full_screen/pro_327429.jpg?ts=1587466554
Good Knight Cream Mosquito Repellent,Good Knight,Household Items,48,50,4,Mosquito Repellent,50 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_435959.jpg?ts=1603199888,https://cdn.grofers.com/app/images/products/full_screen/pro_435959.jpg?ts=1603199888
Baygon Fly Mosquito Killer (Spray - 400 ml),Baygon,Household Items,170,182,6,Mosquito Killer,400 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_395379.jpg?ts=1581322455,https://cdn.grofers.com/app/images/products/full_screen/pro_395379.jpg?ts=1581322455
Herbal Strategi Herbal Just Out Cockroach Repellent,Herbal Strategi,Household Items,200,200,0,Cockroach Repellent,100 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_441853.jpg?ts=1609157090,https://cdn.grofers.com/app/images/products/full_screen/pro_441853.jpg?ts=1609157090
Herbal Strategi Herbal Lizard Repellent,Herbal Strategi,Household Items,220,220,0,Lizard Repellent,100 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_441855.jpg?ts=1609157091,https://cdn.grofers.com/app/images/products/full_screen/pro_441855.jpg?ts=1609157091
Herbal Strategi Herbal Ant Repellent,Herbal Strategi,Household Items,210,210,0,Repellent,100 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_441854.jpg?ts=1609157091,https://cdn.grofers.com/app/images/products/full_screen/pro_441854.jpg?ts=1609157091
Good Knight Naturals Neem Anti-Fly Surface Spray,Good Knight,Household Items,250,299,16,Spray,150 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_436196.jpg?ts=1610107951,https://cdn.grofers.com/app/images/products/full_screen/pro_436196.jpg?ts=1610107951
"SaveMore Oxo-biodegradable Medium Garbage Bag (19 x 21"") - Pack of 3",SaveMore,Household Items,111,165,32,Garbage Bag,3x30 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_405074.jpg?ts=1589174147,https://cdn.grofers.com/app/images/products/full_screen/pro_405074.jpg?ts=1589174147
Origami Kitchen Towel (Non Woven- 80 Pulls),Origami,Home Improvement and Accessories,169,190,11,Kitchen Towel,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_67709.jpg?ts=1608196689,https://cdn.grofers.com/app/images/products/full_screen/pro_67709.jpg?ts=1608196689
"SaveMore Oxo-biodegradable Small Garbage Bag (17 x 19"") - Pack of 3",SaveMore,Household Items,101,135,25,Garbage Bag,3x30 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_405073.jpg?ts=1592983813,https://cdn.grofers.com/app/images/products/full_screen/pro_405073.jpg?ts=1592983813
"SaveMore Oxo-biodegradable Small Garbage Bag (17 x 19"")",SaveMore,Household Items,39,45,13,Garbage Bag,30 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_380074.jpg?ts=1560146867,https://cdn.grofers.com/app/images/products/full_screen/pro_380074.jpg?ts=1560146867
"SaveMore Oxo-biodegradable Medium Garbage Bag (19 x 21"")",SaveMore,Lowest Price,45,55,18,Garbage Bag,30 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_380076.jpg?ts=1560146867,https://cdn.grofers.com/app/images/products/full_screen/pro_380076.jpg?ts=1560146867
"SaveMore Oxo-biodegradable Large Garbage Bag (24 x 32"")",SaveMore,Household Items,49,60,18,Garbage Bag,15 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_380079.jpg?ts=1560146867,https://cdn.grofers.com/app/images/products/full_screen/pro_380079.jpg?ts=1560146867
"SaveMore Oxo-biodegradable Large Garbage Bag (24 x 32"") - Pack of 3",SaveMore,Lowest Price,129,180,28,Garbage Bag,3x15 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_440162.jpg?ts=1608273271,https://cdn.grofers.com/app/images/products/full_screen/pro_440162.jpg?ts=1608273271
Origami So Soft 3 PLY -6X100 g Toilet Roll,Origami So Soft,Household Items,170,225,24,Toilet Roll,6 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_102806.jpg?ts=1592222795,https://cdn.grofers.com/app/images/products/full_screen/pro_102806.jpg?ts=1592222795
Origami So Soft 3 Ply Toilet Roll (12x160 Sheets),Origami So Soft,Household Items,365,390,6,Toilet Roll,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_308387.jpg?ts=1591259878,https://cdn.grofers.com/app/images/products/full_screen/pro_308387.jpg?ts=1591259878
Origami Kitchen Towel,Origami,Household Items,249,265,6,Kitchen Towel,4 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_102816.jpg?ts=1609411073,https://cdn.grofers.com/app/images/products/full_screen/pro_102816.jpg?ts=1609411073
Mangaldeep Treya 3 in 1 Incense Sticks,Mangaldeep,Household Items,50,50,0,Incense Sticks,80 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_384915.jpg?ts=1605855876,https://cdn.grofers.com/app/images/products/full_screen/pro_384915.jpg?ts=1605855876
Mangaldeep Sandal Dhoop,Mangaldeep,Household Items,15,15,0,Dhoop,20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_60686.jpg?ts=1559133059,https://cdn.grofers.com/app/images/products/full_screen/pro_60686.jpg?ts=1559133059
EKUM Deluxe Wet Dhoop - Pack of 2,EKUM,Household Items,25,30,16,Dhoop,2x20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_441372.jpg?ts=1610772298,https://cdn.grofers.com/app/images/products/full_screen/pro_441372.jpg?ts=1610772298
EKUM Rose Wet Dhoop - Pack of 2,EKUM,Household Items,25,30,16,Dhoop,2x20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_441377.jpg?ts=1610772622,https://cdn.grofers.com/app/images/products/full_screen/pro_441377.jpg?ts=1610772622
EKUM Deluxe Wet Dhoop,EKUM,Household Items,15,15,0,Dhoop,20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_438472.jpg?ts=1610099849,https://cdn.grofers.com/app/images/products/full_screen/pro_438472.jpg?ts=1610099849
EKUM Rose Wet Dhoop,EKUM,Household Items,15,15,0,Dhoop,20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_438473.jpg?ts=1610099849,https://cdn.grofers.com/app/images/products/full_screen/pro_438473.jpg?ts=1610099849
SaveMore Incense Sticks/Agarbatti,SaveMore,Household Items,45,65,30,Incense Sticks,150 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_409271.jpg?ts=1577080893,https://cdn.grofers.com/app/images/products/full_screen/pro_409271.jpg?ts=1577080893
EKUM Fruity Aroma Incense Sticks,EKUM,Household Items,65,65,0,Incense Sticks,100 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_442183.jpg?ts=1611838926,https://cdn.grofers.com/app/images/products/full_screen/pro_442183.jpg?ts=1611838926
Herbal Strategi Herbal Aromatic Patchouli Incense Sticks,Herbal Strategi,Household Items,40,40,0,Incense Sticks,20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_441862.jpg?ts=1609157122,https://cdn.grofers.com/app/images/products/full_screen/pro_441862.jpg?ts=1609157122
Herbal Strategi Herbal Aromatic Vetiver Incense Sticks,Herbal Strategi,Household Items,40,40,0,Incense Sticks,20 units,units,,https://cdn.grofers.com/app/images/products/normal/pro_441861.jpg?ts=1609157122,https://cdn.grofers.com/app/images/products/full_screen/pro_441861.jpg?ts=1609157122
Odonil Lavender Mist Room Freshener (Spray),Odonil,Household Items,179,380,52,Room Freshener,600 ml,ml,,https://cdn.grofers.com/app/images/products/normal/pro_430953.jpg?ts=1600839795,https://cdn.grofers.com/app/images/products/full_screen/pro_430953.jpg?ts=1600839795
