name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
IHomz IH-ASL-030 Heavy Folding 6 Step Aluminium Ladder (Silver),IHomz,Home Furnishing and Decor,3779,6999,46,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_409402.jpg?ts=1578651038,https://cdn.grofers.com/app/images/products/full_screen/pro_409402.jpg?ts=1578651038
IHomz IH-HPSL-033 Home Pro 4 Step with Platform Hand Rail Aluminum Ladder (Silver),IHomz,Home Furnishing and Decor,2999,5499,45,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_408627.jpg?ts=1578651027,https://cdn.grofers.com/app/images/products/full_screen/pro_408627.jpg?ts=1578651027
IHomz IH-ASL-029 Heavy Folding 5 Step Aluminium Ladder (Silver),IHomz,Home Furnishing and Decor,3359,5999,44,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_409401.jpg?ts=1578651039,https://cdn.grofers.com/app/images/products/full_screen/pro_409401.jpg?ts=1578651039
Bonita Vacio Storage X-Large Vacuum VB06-RCTP-01 Bag (Transparent),Bonita,Home Furnishing and Decor,479,795,39,Bag,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_407015.jpg?ts=1578651499,https://cdn.grofers.com/app/images/products/full_screen/pro_407015.jpg?ts=1578651499
Bonita Vacio Storage Large Vacuum VB05-RCTP-01 Bag (Transparent),Bonita,Home Furnishing and Decor,369,595,37,Bag,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_407014.jpg?ts=1578651499,https://cdn.grofers.com/app/images/products/full_screen/pro_407014.jpg?ts=1578651499
Bonita VB02-401B 2 Pcs Hand Pressed Magique Vacuum Bag (White),Bonita,Home Furnishing and Decor,399,595,32,Bag,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_413149.jpg?ts=1578983767,https://cdn.grofers.com/app/images/products/full_screen/pro_413149.jpg?ts=1578983767
Nilkamal Multipurpose Kitchen Rack (Beige),Nilkamal,Home Furnishing and Decor,699,810,13,Kitchen Rack,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_382816.jpg?ts=1583488991,https://cdn.grofers.com/app/images/products/full_screen/pro_382816.jpg?ts=1583488991
Nilkamal CC2DIVR 2 Door Corner Cabinet (Ivory),Nilkamal,Home Furnishing and Decor,1390,1390,0,Cabinet,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_413401.jpg?ts=1579501671,https://cdn.grofers.com/app/images/products/full_screen/pro_413401.jpg?ts=1579501671
Nilkamal CC2DMRN 2 Door Corner Cabinet (Maroon),Nilkamal,Home Furnishing and Decor,1390,1390,0,Cabinet,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_413402.jpg?ts=1579501671,https://cdn.grofers.com/app/images/products/full_screen/pro_413402.jpg?ts=1579501671
Nilkamal CC3DIVR 3 Door Corner Cabinet (Ivory),Nilkamal,Home Furnishing and Decor,1895,1895,0,Cabinet,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_413403.jpg?ts=1579501671,https://cdn.grofers.com/app/images/products/full_screen/pro_413403.jpg?ts=1579501671
Nilkamal CC3DMRN 3 Door Corner Cabinet (Maroon),Nilkamal,Home Furnishing and Decor,1895,1895,0,Cabinet,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_413404.jpg?ts=1579501671,https://cdn.grofers.com/app/images/products/full_screen/pro_413404.jpg?ts=1579501671
Bianca Micro Polyester Floral 3 Pcs Cushion Cover Set (Multi) C_CUS241A_CUS241A_CUS241A_CUS241A_CUS241A Soft Touch Digitally Printed Ruyal,Bianca,Home Furnishing and Decor,769,1995,61,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_443016.jpg?ts=1611732883,https://cdn.grofers.com/app/images/products/full_screen/pro_443016.jpg?ts=1611732883
Impressions Cushion Cover Set (White) EW0541 Set of 2 pcs (40*40 cms),Impressions,Home Furnishing and Decor,199,499,60,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_405945.jpg?ts=1583386313,https://cdn.grofers.com/app/images/products/full_screen/pro_405945.jpg?ts=1583386313
Bianca Micro Polyester Floral 3 Pcs Cushion Cover Set (Multi) C_CUS241A_CUS241A_CUS241A Soft Touch Digitally Printed Ruyal,Bianca,Home Furnishing and Decor,569,1197,52,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_443015.jpg?ts=1611732883,https://cdn.grofers.com/app/images/products/full_screen/pro_443015.jpg?ts=1611732883
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Grey & Beige) C_CUS220_CUS220_CUS220,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423757.jpg?ts=1590068834,https://cdn.grofers.com/app/images/products/full_screen/pro_423757.jpg?ts=1590068834
Bianca Satin Abstract 3 Pcs Cushion Cover Set (Multi) C_CUS232A_CUS232A_CUS232A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423773.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423773.jpg?ts=1590068901
Bianca Satin Abstract 3 Pcs Cushion Cover Set (Multi) C_CUS232A_CUS233A_CUS243A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423783.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423783.jpg?ts=1590068951
Bianca Satin Abstract 3 Pcs Cushion Cover Set (Multi) C_CUS235A_CUS235A_CUS235A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423776.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423776.jpg?ts=1590068901
Bianca Satin Abstract 3 Pcs Cushion Cover Set (Pink) C_CUS243A_CUS243A_CUS243A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423782.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423782.jpg?ts=1590068951
Bianca Satin Floral 3 Pcs Cushion Cover Set (Aqua) C_CUS237A_CUS237A_CUS237A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423778.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423778.jpg?ts=1590068901
Bianca Satin Floral 3 Pcs Cushion Cover Set (Beige & Pink) C_CUS240A_CUS240A_CUS240A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423780.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423780.jpg?ts=1590068951
